iter	Passed	Remaining
236	29430	94748
237	29513	94492
238	29608	94276
239	29723	94123
240	29804	93864
241	29901	93659
242	29996	93444
243	30100	93262
244	30216	93116
245	30326	92951
246	30414	92721
247	30533	92586
248	30670	92505
249	30795	92386
250	30923	92276
251	31062	92200
252	31161	92005
253	31273	91851
254	31399	91736
255	31506	91565
256	31611	91390
257	31711	91201
258	31807	91002
259	31898	90788
260	31996	90595
261	32083	90373
262	32160	90123
263	32265	89953
264	32423	89929
265	32577	89893
266	32766	89953
267	32884	89819
268	33078	89890
269	33250	89900
270	33384	89805
271	33499	89659
272	33603	89484
273	33686	89256
274	33794	89093
275	33889	88899
276	33974	88676
277	34094	88548
278	34239	88482
279	34375	88394
280	34504	88287
281	34627	88166
282	34747	88034
283	34912	88019
284	35013	87840
285	35204	87886
286	35338	87792
287	35461	87667
288	35601	87586
289	35745	87515
290	35847	87339
291	35936	87133
292	36033	86947
293	36137	86779
294	36236	86599
295	36325	86396
296	36430	86230
297	36528	86050
298	36605	85820
299	36691	85612
300	36799	85457
301	36888	85259
302	36980	85068
303	37073	84879
304	37161	84678
305	37265	84516
306	37362	84338
307	37447	84135
308	37609	84103
309	37719	83956
310	37808	83762
311	38003	83802
312	38145	83726
313	38255	83576
314	38344	83383
315	38490	83315
316	38607	83182
317	38708	83017
318	38801	82833
319	38921	82707
320	39045	82591
321	39150	82434
322	39246	82259
323	39355	82112
324	39476	81990
325	39571	81812
326	39705	81718
327	39826	81595
328	39911	81400
329	40002	81216
330	40085	81018
331	40178	80841
332	40271	80664
333	40372	80502
334	40468	80333
335	40574	80182
336	40669	80011
337	40783	79878
338	40873	79697
339	40964	79519
340	41070	79371
341	41164	79198
342	41262	79036
343	41346	78846
344	41444	78683
345	41542	78522
346	41692	78458
347	41792	78301
348	41916	78188
349	42094	78175
350	42198	78024
351	42315	77898
352	42464	77830
353	42605	77749
354	42706	77593
355	42813	77449
356	42938	77337
357	43043	77190
358	43190	77116
359	43336	77042
360	43487	76976
361	43593	76830
362	43740	76756
363	43876	76663
364	44001	76549
365	44270	76687
366	44372	76533
367	44484	76396
368	44607	76280
369	44714	76135
370	44849	76038
371	45018	75998
372	45115	75837
373	45239	75722
374	45339	75566
375	45464	75451
376	45588	75335
377	45733	75254
378	45840	75111
379	45953	74976
380	46069	74847
381	46164	74684
382	46299	74587
383	46444	74504
384	46556	74368
385	46657	74216
386	46765	74075
387	46847	73893
388	46945	73737
389	47051	73592
390	47137	73419
391	47240	73270
392	47336	73113
393	47430	72950
394	47519	72783
395	47603	72607
396	47700	72452
397	47865	72400
398	47965	72249
399	48072	72108
400	48253	72079
401	48395	71991
402	48522	71880
403	48659	71784
404	48810	71709
405	48940	71602
406	49064	71486
407	49189	71372
408	49336	71290
409	49513	71251
410	49637	71135
411	49729	70973
412	49817	70805
413	49907	70641
414	50003	70487
415	50106	70341
416	50207	70194
417	50309	70048
418	50405	69893
419	50516	69761
420	50647	69655
421	50764	69529
422	50871	69391
423	50982	69258
424	51078	69105
425	51193	68978
426	51306	68849
427	51391	68681
428	51501	68548
429	51627	68436
430	51778	68357
431	51946	68299
432	52097	68220
433	52237	68125
434	52405	68066
435	52566	67999
436	52718	67918
437	52834	67792
438	53023	67759
439	53143	67637
440	53261	67512
441	53382	67391
442	53508	67277
443	53613	67138
444	53729	67011
445	53839	66877
446	53941	66732
447	54054	66603
448	54156	66458
449	54286	66349
450	54397	66217
451	54509	66086
452	54635	65972
453	54740	65833
454	54901	65760
455	55057	65682
456	55198	65585
457	55334	65482
458	55500	65415
459	55626	65300
460	55783	65221
461	55867	65057
462	55975	64921
463	56076	64778
464	56176	64633
465	56303	64519
466	56427	64402
467	56590	64329
468	56771	64276
469	56901	64165
470	56988	64005
471	57085	63858
472	57180	63708
473	57284	63568
474	57375	63415
475	57471	63267
476	57552	63102
477	57635	62940
478	57723	62784
479	57828	62647
480	57925	62501
481	58067	62404
482	58172	62267
483	58265	62117
484	58372	61982
485	58475	61844
486	58559	61685
487	58650	61534
488	58754	61397
489	58849	61251
490	58968	61130
491	59076	60997
492	59178	60859
493	59285	60725
494	59402	60602
495	59505	60465
496	59603	60322
497	59738	60218
498	59901	60141
499	60091	60091
500	60234	59993
501	60387	59906
502	60506	59784
503	60607	59645
504	60735	59532
505	60863	59420
506	61028	59343
507	61240	59311
508	61417	59246
509	61565	59151
510	61667	59012
511	61801	58904
512	61912	58774
513	62074	58693
514	62196	58573
515	62373	58504
516	62499	58389
517	62656	58302
518	62804	58206
519	62943	58101
520	63045	57962
521	63199	57872
522	63329	57759
523	63501	57684
524	63621	57562
525	63733	57433
526	63894	57347
527	64059	57265
528	64190	57152
529	64337	57054
530	64451	56926
531	64561	56794
532	64676	56667
533	64768	56520
534	64875	56387
535	64971	56244
536	65078	56110
537	65162	55957
538	65259	55815
539	65362	55679
540	65456	55535
541	65558	55398
542	65664	55264
543	65730	55097
544	65839	54966
545	65947	54835
546	66053	54702
547	66168	54576
548	66307	54471
549	66423	54346
550	66523	54208
551	66615	54064
552	66705	53919
553	66803	53780
554	66903	53643
555	66978	53486
556	67155	53411
557	67258	53276
558	67371	53150
559	67480	53020
560	67584	52886
561	67699	52762
562	67792	52620
563	67941	52522
564	68076	52412
565	68180	52279
566	68342	52191
567	68468	52074
568	68589	51954
569	68748	51862
570	68884	51754
571	69049	51666
572	69201	51569
573	69336	51459
574	69521	51385
575	69683	51295
576	69879	51229
577	69985	51096
578	70152	51008
579	70271	50885
580	70384	50759
581	70468	50611
582	70574	50479
583	70681	50348
584	70784	50214
585	70891	50083
586	71026	49972
587	71160	49861
588	71254	49720
589	71357	49587
590	71481	49468
591	71629	49366
592	71778	49264
593	71897	49142
594	72061	49050
595	72206	48945
596	72367	48850
597	72506	48741
598	72641	48629
599	72769	48512
600	72879	48384
601	72984	48252
602	73138	48152
603	73243	48020
604	73349	47889
605	73437	47746
606	73545	47616
607	73643	47480
608	73791	47376
609	73920	47260
610	74053	47146
611	74188	47034
612	74335	46929
613	74452	46805
614	74556	46673
615	74676	46551
616	74818	46443
617	74913	46305
618	75039	46187
619	75202	46091
620	75329	45974
621	75477	45868
622	75580	45736
623	75667	45594
624	75774	45464
625	75875	45331
626	75985	45203
627	76092	45073
628	76197	44943
629	76292	44806
630	76409	44683
631	76551	44574
632	76685	44460
633	76806	44339
634	76916	44212
635	77044	44094
636	77183	43983
637	77305	43862
638	77424	43740
639	77525	43608
640	77635	43480
641	77751	43356
642	77854	43225
643	78013	43125
644	78126	42999
645	78267	42889
646	78442	42797
647	78569	42679
648	78711	42569
649	78877	42472
650	78985	42343
651	79116	42228
652	79230	42102
653	79340	41975
654	79472	41859
655	79600	41741
656	79719	41619
657	79813	41483
658	79922	41356
659	80064	41245
660	80216	41139
661	80307	41003
662	80417	40875
663	80526	40748
664	80630	40618
665	80711	40476
666	80818	40348
667	80920	40217
668	81024	40088
669	81136	39962
670	81229	39828
671	81402	39732
672	81523	39611
673	81681	39507
674	81815	39392
675	81917	39262
676	82060	39151
677	82147	39014
678	82240	38879
679	82350	38752
680	82445	38619
681	82539	38486
682	82630	38351
683	82728	38219
684	82837	38093
685	82947	37967
686	83054	37840
687	83164	37714
688	83274	37588
689	83366	37454
690	83462	37322
691	83553	37188
692	83640	37052
693	83728	36917
694	83843	36794
695	83949	36667
696	84035	36532
697	84139	36403
698	84239	36274
699	84336	36144
700	84421	36008
701	84517	35877
702	84608	35744
703	84704	35614
704	84797	35482
705	84890	35350
706	84999	35226
707	85102	35098
708	85209	34972
709	85319	34848
710	85420	34720
711	85563	34609
712	85713	34501
713	85851	34388
714	86010	34284
715	86133	34164
716	86293	34059
717	86422	33942
718	86558	33828
719	86695	33714
720	86862	33612
721	87029	33509
722	87200	33408
723	87477	33347
724	87584	33221
725	87710	33102
726	87841	32985
727	88001	32879
728	88134	32763
729	88294	32656
730	88448	32548
731	88591	32435
732	88744	32325
733	88888	32212
734	89023	32096
735	89165	31983
736	89306	31869
737	89413	31742
738	89517	31615
739	89624	31489
740	89819	31394
741	89983	31288
742	90140	31179
743	90247	31052
744	90340	30921
745	90454	30798
746	90563	30672
747	90653	30541
748	90749	30411
749	90845	30281
750	90944	30153
751	91058	30029
752	91155	29901
753	91253	29772
754	91370	29649
755	91453	29516
756	91550	29388
757	91713	29280
758	91862	29168
759	92067	29074
760	92193	28954
761	92327	28837
762	92465	28721
763	92603	28605
764	92707	28478
765	92866	28369
766	92988	28248
767	93122	28130
768	93302	28027
769	93423	27905
770	93537	27782
771	93651	27658
772	93810	27548
773	93924	27425
774	94027	27298
775	94125	27170
776	94219	27041
777	94321	26914
778	94420	26786
779	94533	26663
780	94644	26539
781	94751	26414
782	94890	26297
783	95006	26175
784	95114	26050
785	95249	25933
786	95356	25808
787	95448	25679
788	95528	25546
789	95608	25415
790	95698	25285
791	95804	25160
792	95890	25030
793	95979	24901
794	96092	24778
795	96180	24649
796	96267	24519
797	96356	24391
798	96508	24278
799	96673	24168
800	96785	24045
801	96896	23922
802	97033	23805
803	97179	23690
804	97281	23564
805	97396	23442
806	97560	23332
807	97694	23214
808	97807	23091
809	97978	22982
810	98103	22862
811	98248	22747
812	98393	22631
813	98525	22513
814	98631	22388
815	98779	22273
816	98903	22153
817	99061	22040
818	99171	21916
819	99282	21793
820	99384	21668
821	99486	21543
822	99577	21415
823	99665	21287
824	99769	21163
825	99871	21038
826	99960	20910
827	100073	20788
828	100217	20672
829	100345	20552
830	100449	20428
831	100538	20301
832	100658	20180
833	100755	20054
834	100853	19929
835	100978	19809
836	101091	19686
837	101195	19562
838	101313	19441
839	101414	19317
840	101516	19192
841	101618	19068
842	101732	18946
843	101837	18822
844	101929	18697
845	102035	18573
846	102138	18450
847	102257	18329
848	102371	18207
849	102505	18089
850	102638	17970
851	102717	17842
852	102813	17718
853	102946	17599
854	103078	17481
855	103192	17359
856	103303	17237
857	103409	17114
858	103517	16991
859	103688	16879
860	103879	16770
861	104001	16649
862	104116	16528
863	104255	16410
864	104348	16285
865	104451	16162
866	104568	16041
867	104676	15918
868	104762	15792
869	104880	15671
870	105026	15555
871	105173	15438
872	105307	15319
873	105447	15201
874	105575	15082
875	105695	14961
876	105848	14845
877	105988	14727
878	106113	14607
879	106262	14490
880	106388	14370
881	106525	14251
882	106639	14130
883	106748	14007
884	106859	13885
885	106963	13762
886	107052	13637
887	107155	13515
888	107271	13393
889	107361	13269
890	107457	13145
891	107622	13030
892	107718	12906
893	107894	12792
894	108073	12678
895	108195	12558
896	108297	12435
897	108413	12314
898	108519	12191
899	108649	12072
900	108758	11950
901	108858	11827
902	108959	11704
903	109052	11580
904	109151	11457
905	109251	11335
906	109337	11211
907	109454	11090
908	109559	10967
909	109646	10844
910	109752	10722
911	109861	10600
912	109947	10476
913	110062	10355
914	110155	10233
915	110242	10109
916	110350	9988
917	110472	9867
918	110616	9749
919	110710	9626
920	110813	9505
921	110931	9384
922	111024	9262
923	111135	9141
924	111382	9030
925	111486	8909
926	111581	8786
927	111684	8665
928	111777	8542
929	111861	8419
930	111980	8299
931	112071	8176
932	112181	8055
933	112316	7936
934	112474	7819
935	112587	7698
936	112730	7579
937	112829	7457
938	112931	7336
939	113056	7216
940	113181	7096
941	113289	6975
942	113388	6853
943	113507	6733
944	113624	6613
945	113732	6492
946	113840	6371
947	113950	6250
948	114057	6129
949	114178	6009
950	114283	5888
951	114386	5767
952	114475	5645
953	114582	5524
954	114687	5404
955	114811	5284
956	114931	5164
957	115058	5044
958	115196	4924
959	115325	4805
960	115451	4685
961	115618	4567
962	115738	4446
963	115836	4325
964	115951	4205
965	116046	4084
966	116157	3964
967	116253	3843
968	116373	3722
969	116481	3602
970	116603	3482
971	116694	3361
972	116797	3241
973	116917	3120
974	117023	3000
975	117122	2880
976	117248	2760
977	117358	2639
978	117483	2520
979	117603	2400
980	117706	2279
981	117797	2159
982	117917	2039
983	118020	1919
984	118127	1798
985	118239	1678
986	118342	1558
987	118446	1438
988	118558	1318
989	118713	1199
990	118884	1079
991	118988	959
992	119093	839
993	119209	719
994	119328	599
995	119441	479
996	119607	359
997	119713	239
998	119819	119
999	119929	0
