iter	Logloss
352	0.4800559215
353	0.4800440057
354	0.4800265891
355	0.4800035614
356	0.4799920835
357	0.479974391
358	0.479952822
359	0.4799294276
360	0.4799120536
361	0.4798858119
362	0.4798571183
363	0.4798340794
364	0.4798127994
365	0.4797903112
366	0.4797787057
367	0.4797609466
368	0.4797296706
369	0.4797247457
370	0.4797048677
371	0.4796896257
372	0.4796834918
373	0.4796784897
374	0.479673336
375	0.4796558278
376	0.4796336906
377	0.4796141177
378	0.4795978364
379	0.4795700076
380	0.4795359001
381	0.4795123502
382	0.4794982097
383	0.4794713032
384	0.479436775
385	0.4794066889
386	0.4793870343
387	0.4793739425
388	0.4793614857
389	0.4793433065
390	0.4793246921
391	0.479302578
392	0.4792850615
393	0.4792776205
394	0.4792723485
395	0.479246935
396	0.4792343718
397	0.4792139719
398	0.4791990025
399	0.4791927564
400	0.4791680804
401	0.4791472352
402	0.4791270242
403	0.4791140173
404	0.4790935371
405	0.4790811658
406	0.4790598907
407	0.4790318185
408	0.4790197816
409	0.4790080313
410	0.4789675576
411	0.4789554567
412	0.4789448072
413	0.4789157315
414	0.4789022612
415	0.4788846859
416	0.4788611238
417	0.4788394691
418	0.4788267794
419	0.4788074745
420	0.4787875285
421	0.4787809074
422	0.4787519346
423	0.4787321206
424	0.478714358
425	0.4787055925
426	0.4786949567
427	0.478676879
428	0.4786608678
429	0.4786357971
430	0.4786225454
431	0.478607647
432	0.4785962694
433	0.4785758294
434	0.4785599367
435	0.4785352798
436	0.4785244852
437	0.4785068663
438	0.4784845235
439	0.4784701374
440	0.4784507634
441	0.4784362851
442	0.4784168887
443	0.4783939735
444	0.4783684027
445	0.4783489147
446	0.4783135421
447	0.4782881463
448	0.4782734106
449	0.4782557037
450	0.4782421135
451	0.4782317796
452	0.4782211136
453	0.4782056662
454	0.478185825
455	0.478163763
456	0.4781499845
457	0.4781295983
458	0.478110822
459	0.4780929149
460	0.4780669836
461	0.4780519844
462	0.4780277056
463	0.4780139814
464	0.4779939307
465	0.4779735601
466	0.4779551883
467	0.477932511
468	0.477909358
469	0.4779003589
470	0.4778842733
471	0.4778659164
472	0.4778532565
473	0.4778280691
474	0.477807422
475	0.4777868468
476	0.4777748859
477	0.4777540139
478	0.4777499477
479	0.4777238393
480	0.477702316
481	0.4776761688
482	0.477663481
483	0.4776504783
484	0.4776253977
485	0.4776024425
486	0.4775887212
487	0.4775775493
488	0.4775628155
489	0.4775573914
490	0.4775458901
491	0.4775284894
492	0.4775158844
493	0.4775005803
494	0.4774873538
495	0.4774699892
496	0.4774579375
497	0.4774433876
498	0.4774283882
499	0.477412275
500	0.4773985003
501	0.4773740098
502	0.4773588865
503	0.4773475749
504	0.4773312909
505	0.4773177254
506	0.4772899763
507	0.47726939
508	0.4772484118
509	0.4772390556
510	0.4772138287
511	0.4771896716
512	0.4771809773
513	0.4771565645
514	0.4771330897
515	0.477113777
516	0.4770959493
517	0.4770751837
518	0.4770534984
519	0.4770391496
520	0.4770313554
521	0.4770154034
522	0.4769933612
523	0.4769804147
524	0.4769632103
525	0.4769520901
526	0.4769363886
527	0.4769182446
528	0.4769073367
529	0.4769036248
530	0.4768993533
531	0.4768882246
532	0.4768679241
533	0.4768583007
534	0.4768344306
535	0.4768258254
536	0.4768156629
537	0.4767984036
538	0.4767883155
539	0.4767682981
540	0.4767582777
541	0.4767404131
542	0.4767292649
543	0.4767274334
544	0.4767093508
545	0.4766903238
546	0.4766753705
547	0.4766624463
548	0.4766525119
549	0.4766334286
550	0.4766047778
551	0.4766002124
552	0.4765884451
553	0.4765801486
554	0.4765677624
555	0.4765661672
556	0.4765465726
557	0.476528757
558	0.4765017098
559	0.4764910948
560	0.4764763831
561	0.476458482
562	0.4764411024
563	0.4764316721
564	0.476414958
565	0.4764044513
566	0.4763871182
567	0.4763758851
568	0.4763610812
569	0.4763480075
570	0.4763418457
571	0.4763259675
572	0.4763154835
573	0.4762957157
574	0.4762757426
575	0.4762641809
576	0.4762518524
577	0.4762368087
578	0.4762153608
579	0.4762010173
580	0.476181372
581	0.4761690966
582	0.4761599889
583	0.4761441711
584	0.4761340765
585	0.4761166737
586	0.4761018922
587	0.4760883822
588	0.4760725122
589	0.4760610584
590	0.4760440599
591	0.4760301905
592	0.4760158554
593	0.4760057436
594	0.4759926668
595	0.4759779418
596	0.4759613498
597	0.4759476024
598	0.4759295522
599	0.4759108751
600	0.4758972833
601	0.4758795911
602	0.475861373
603	0.4758426585
604	0.4758346939
605	0.4758225109
606	0.4758109478
607	0.4757971359
608	0.4757744897
609	0.4757510563
610	0.4757268174
611	0.4757037712
612	0.4756876266
613	0.4756741542
614	0.4756572918
615	0.4756396178
616	0.4756162308
617	0.4755968775
618	0.4755772092
619	0.475564965
620	0.4755487023
621	0.4755353847
622	0.4755264421
623	0.4755160631
624	0.4755031759
625	0.4754886991
626	0.4754720702
627	0.4754536727
628	0.4754441038
629	0.4754222336
630	0.4754084507
631	0.4753911899
632	0.4753721209
633	0.4753571411
634	0.4753419804
635	0.47533066
636	0.4753187845
637	0.4753100022
638	0.4753007247
639	0.4752904575
640	0.4752768122
641	0.4752628707
642	0.4752555013
643	0.4752405322
644	0.4752304931
645	0.4752189682
646	0.4751932078
647	0.4751751575
648	0.4751641177
649	0.4751510871
650	0.4751421644
651	0.4751356179
652	0.4751181787
653	0.4751008809
654	0.4750807467
655	0.4750687173
656	0.4750526875
657	0.4750407241
658	0.4750302396
659	0.4750175559
660	0.4750026819
661	0.4749913277
662	0.474981504
663	0.4749655698
664	0.4749568481
665	0.474942502
666	0.4749316431
667	0.4749158825
668	0.4749012594
669	0.4748877358
670	0.4748751275
671	0.4748526335
672	0.4748459633
673	0.4748334223
674	0.4748166016
675	0.4747992948
676	0.4747815059
677	0.4747665803
678	0.4747603321
679	0.4747464591
680	0.4747229955
681	0.4747109272
682	0.4746982679
683	0.474681666
684	0.4746588257
685	0.4746321256
686	0.4746137776
687	0.4745994778
688	0.4745892248
689	0.4745733031
690	0.4745688145
691	0.4745655029
692	0.4745550918
693	0.4745446017
694	0.4745307139
695	0.4745138116
696	0.4745027503
697	0.4744884496
698	0.4744715534
699	0.4744604389
700	0.4744519065
701	0.4744383549
702	0.4744294136
703	0.4744147545
704	0.4744081467
705	0.4743994654
706	0.4743836322
707	0.4743625639
708	0.4743503724
709	0.4743339208
710	0.4743271938
711	0.4743161532
712	0.4743089048
713	0.4742895616
714	0.4742727266
715	0.4742704048
716	0.4742606828
717	0.4742511825
718	0.4742374723
719	0.4742180934
720	0.4742086271
721	0.4741950981
722	0.4741815528
723	0.4741711439
724	0.474159116
725	0.4741569108
726	0.4741423028
727	0.4741296339
728	0.4741234355
729	0.4740969035
730	0.4740818584
731	0.4740655113
732	0.4740547505
733	0.4740431313
734	0.474031037
735	0.474021198
736	0.4740067688
737	0.4739943461
738	0.4739637315
739	0.4739518327
740	0.4739412642
741	0.4739302439
742	0.473911224
743	0.4739069269
744	0.4738985055
745	0.4738807553
746	0.4738710174
747	0.4738499799
748	0.4738401692
749	0.4738297017
750	0.4738181722
751	0.473804995
752	0.4737900623
753	0.4737795219
754	0.4737639301
755	0.4737526805
756	0.4737473723
757	0.4737308071
758	0.4737185587
759	0.4737099444
760	0.473698427
761	0.4736807536
762	0.4736753251
763	0.4736667171
764	0.4736563558
765	0.4736398024
766	0.4736232319
767	0.4736118446
768	0.4736025318
769	0.4735884754
770	0.4735771837
771	0.4735691809
772	0.4735526167
773	0.4735433564
774	0.4735275238
775	0.4735162474
776	0.4735114906
777	0.4735027453
778	0.4734738663
779	0.4734533153
780	0.4734378372
781	0.4734298606
782	0.4734190055
783	0.4734108658
784	0.4733983708
785	0.4733922847
786	0.4733762943
787	0.4733675323
788	0.4733639333
789	0.4733518964
790	0.4733458517
791	0.4733385766
792	0.4733361691
793	0.4733272828
794	0.4733111542
795	0.4733032092
796	0.4732858607
797	0.4732775316
798	0.4732665553
799	0.473258118
800	0.4732472692
801	0.4732319841
802	0.4732146449
803	0.4731994182
804	0.4731936927
805	0.4731815533
806	0.4731690729
807	0.4731613492
808	0.4731476024
809	0.4731353322
810	0.4731202355
811	0.473108432
812	0.473100014
813	0.4730874834
814	0.4730767039
815	0.4730637366
816	0.4730543708
817	0.4730340902
818	0.4730225425
819	0.4730070387
820	0.4729997264
821	0.4729877978
822	0.4729818236
823	0.4729722522
824	0.4729577197
825	0.4729411295
826	0.4729244552
827	0.4729117541
828	0.4728994116
829	0.472885462
830	0.4728739672
831	0.4728654087
832	0.4728477849
833	0.4728376819
834	0.4728238053
835	0.4728127509
836	0.472803344
837	0.4727835389
838	0.4727681827
839	0.4727526694
840	0.4727371008
841	0.4727281138
842	0.4727179077
843	0.472711142
844	0.4727029533
845	0.4726903768
846	0.4726777729
847	0.4726602755
848	0.4726586372
849	0.4726539352
850	0.4726439346
851	0.4726353116
852	0.4726245139
853	0.4726138239
854	0.4726036741
855	0.4725957549
856	0.4725889962
857	0.4725768406
858	0.4725696166
859	0.472560726
860	0.472554059
861	0.4725435907
862	0.4725307998
863	0.4725221152
864	0.4725094712
865	0.4724955602
866	0.4724817688
867	0.472471304
868	0.472459686
869	0.4724496993
870	0.4724395015
871	0.4724257399
872	0.4724117074
873	0.4723977191
874	0.4723892359
875	0.4723826861
876	0.4723675619
877	0.4723610739
878	0.4723498321
879	0.4723451481
880	0.4723222872
881	0.4723145569
882	0.4723022707
883	0.4722901531
884	0.4722818125
885	0.4722621756
886	0.4722527169
887	0.4722374463
888	0.4722230993
889	0.4722159184
890	0.4721999976
891	0.472191439
892	0.4721831607
893	0.4721622561
894	0.4721487537
895	0.4721360902
896	0.4721248015
897	0.4721126975
898	0.4721079267
899	0.4720939099
900	0.4720856544
901	0.4720702212
902	0.4720660511
903	0.4720527072
904	0.4720427534
905	0.4720359337
906	0.4720261806
907	0.4720193928
908	0.4720069543
909	0.4719983601
910	0.4719837522
911	0.4719723358
912	0.4719648432
913	0.4719514573
914	0.4719466914
915	0.471932956
916	0.471924533
917	0.4719118038
918	0.4718986737
919	0.4718879152
920	0.4718786645
921	0.4718657033
922	0.4718539932
923	0.4718416464
924	0.4718342257
925	0.4718250497
926	0.4718179033
927	0.4718052835
928	0.4717905789
929	0.4717779402
930	0.4717640537
931	0.4717598627
932	0.4717413445
933	0.4717200109
934	0.4717082969
935	0.4717034695
936	0.471690047
937	0.471674022
938	0.4716673954
939	0.471655174
940	0.4716438342
941	0.4716359125
942	0.4716268616
943	0.4716121706
944	0.4716013065
945	0.4715929383
946	0.4715843082
947	0.4715765812
948	0.471566289
949	0.4715561184
950	0.4715427325
951	0.4715374576
952	0.4715318617
953	0.4715209256
954	0.4715052079
955	0.4714967026
956	0.4714850884
957	0.4714718506
958	0.4714599418
959	0.471454405
960	0.4714440943
961	0.4714255977
962	0.4714165825
963	0.4714150307
964	0.4714060894
965	0.4713959556
966	0.4713857416
967	0.4713747649
968	0.4713622774
969	0.4713427754
970	0.4713205013
971	0.4713188053
972	0.4713098844
973	0.4713008027
974	0.4712921457
975	0.4712861616
976	0.4712777459
977	0.4712669651
978	0.4712556846
979	0.471243059
980	0.4712351355
981	0.4712254954
982	0.4712129789
983	0.4712041369
984	0.4711916207
985	0.4711800418
986	0.4711685779
987	0.4711604279
988	0.4711510661
989	0.4711449779
990	0.4711300547
991	0.4711178552
992	0.4711060559
993	0.47109415
994	0.471081379
995	0.4710674998
996	0.4710580639
997	0.47104068
998	0.4710330108
999	0.4710155606
